period_days,duration_hours,depth_ppm,prad_re,teff_k,logg_cgs,srad_rsun,fpflag_nt,fpflag_ss,fpflag_co,fpflag_ec
21.436032,3.214,1238.5,2.486,3627.0,4.767,0.467,0.0,0.0,0.0,0.0
8.503614,1.203,1590.0,10.2441,6255.0,3.88,2.31,0.0,0.0,0.0,0.0
9.88736642,4.23,68.0,0.68,5693.0,4.57,0.816,0.0,0.0,0.0,0.0
0.56678012,3.257,27.6,0.49,5674.0,4.506,0.911,1.0,0.0,1.0,1.0
0.730964241,2.483,44.0,0.99,5929.0,4.152,1.463,0.0,1.0,0.0,1.0
1.1797412,3.391,7122.0,11.867,6393.0,4.16,1.55,0.0,0.0,0.0,0.0
1.970340203,1.7901,403.2,3.97,4883.0,3.972,1.667,0.0,0.0,0.0,0.0
6.5812768,4.663367,55.2290807,1.6765354,5217.0,4.438,2.2631199,0.0,0.0,0.0,0.0
1.287097944,1.94,106.1,0.89,5906.0,4.494,0.852,0.0,0.0,1.0,0.0
82.5341188,4.8556,1895.4,2.45,4316.0,4.678,0.58,0.0,0.0,0.0,0.0
6.7786403,1.8963943,1146.3653641,13.8147158,7665.0,3.86,2.5943999,0.0,0.0,0.0,0.0
11.79161234,3.036,415.4,2.41,5619.0,4.264,1.199,0.0,0.0,0.0,0.0
4.5300175,5.331,35800.0,3.96,9046.0,4.411,1.028,0.0,0.0,0.0,0.0
14.3318853,1.596,990.0,2.87022,4935.0,4.52,0.82,0.0,0.0,0.0,0.0
40.7362,3.214,1238.5,7.28,5618.0,4.411,0.85,0.0,0.0,0.0,0.0
0.728113,3.214,1238.5,1.1,3782.0,5.0,0.32,0.0,0.0,0.0,0.0
0.512581697,1.5789,259.1,1.32,5547.0,4.571,0.82,0.0,0.0,1.0,1.0
3.468073,2.361,243.9,1.29,5576.0,4.503,0.829,0.0,0.0,0.0,0.0
19.4921473,3.568,1700.0,5.50689,6128.0,4.23,1.36,0.0,0.0,0.0,0.0
5.83977,3.214,1238.5,2.27,3580.0,4.411,0.473,0.0,0.0,0.0,0.0
2.7535993,2.141,14460.0,10.7107,5032.08,4.49678,0.86,0.0,0.0,0.0,0.0
3.7649949,2.642,14735.0,17.8182,6724.0,4.29,1.42,0.0,0.0,0.0,0.0
0.701239,1.05,13700.0,10.9462,5126.0,4.51,0.85,0.0,0.0,0.0,0.0
19.80787763,3.453,616.3,2.08,5775.0,4.558,0.84,0.0,0.0,0.0,0.0
45.4333769,6.351,905.8,2.23,4371.0,4.712,0.559,1.0,0.0,1.0,1.0
7.3050577,3.2531651,180.4217296,1.3350551,5382.0,4.47248,0.928396,0.0,0.0,0.0,0.0
3.2810299,1.9734854,1163.6040257,2.5044826,4783.6,4.59,0.735345,0.0,0.0,0.0,0.0
2.386772,3.214,1238.5,4.0,5718.0,4.411,0.286,0.0,0.0,0.0,0.0
8.657975,3.214,1238.5,3.96,5370.0,4.45,0.891,0.0,0.0,0.0,0.0
11.90691,3.214,1238.5,4.31,5519.0,4.411,0.81,0.0,0.0,0.0,0.0
2.7945508,2.978,8242.0,13.7026,6345.0,4.15,1.56,0.0,0.0,0.0,0.0
43.56225858,3.6873,51325.0,80.02,6411.0,4.307,1.216,0.0,1.0,0.0,0.0
1.9299641,0.37,26801.0,11.758,3554.0,4.78,0.46,0.0,0.0,0.0,0.0
3.7482756,4.989,5010.0,14.0065,6425.0,3.94,2.02,0.0,0.0,0.0,0.0
5.8365098,3.214,1238.5,3.96,5718.0,4.411,1.028,0.0,0.0,0.0,0.0
1.7932884,3.299,16170.0,22.7665,7122.0,4.411,1.74,0.0,0.0,0.0,0.0
11.8413467,2.865,770.0,2.20757,4554.0,4.52,0.77,0.0,0.0,0.0,0.0
2.43585046,2.088,60.5,2.6,6501.0,3.613,3.247,0.0,0.0,1.0,0.0
2.3155132,0.649,1520.0,7.00521,6011.0,4.16,1.45,0.0,0.0,0.0,0.0
4.7974601,5.952,4890.0,10.4912,6549.4,4.21,1.51,0.0,0.0,0.0,0.0
6.18026138745,3.214,1238.5,13.70374653,6513.0,4.08,1.73931,0.0,0.0,0.0,0.0
6.535,3.214,1238.5,3.31,3861.0,4.67,0.5776,0.0,0.0,0.0,0.0
87.0912594,7.0,1129.1,2.95,5001.0,4.582,0.76,0.0,0.0,0.0,0.0
18.3721835,3.738,152.5,1.12,5937.0,4.558,0.83,0.0,0.0,0.0,0.0
7.1476512,3.03,13510.0,11.017,5287.0,4.45,0.94,0.0,0.0,0.0,0.0
369.73011,14.27,274.8,1.66,6283.0,4.453,0.999,0.0,0.0,0.0,0.0
11.73677,3.214,1238.5,1.82,3984.72,4.469,0.761077,0.0,0.0,0.0,0.0
1.566528935,3.2593,92511.0,49.66,5883.0,4.471,0.905,0.0,1.0,0.0,0.0
6.198273591,7.53837,47303.0,19.81,6038.0,4.524,0.898,0.0,1.0,0.0,0.0
1.442592305,2.9698,166.0,2.67,7216.0,3.983,2.043,0.0,0.0,0.0,0.0
7.42697378,3.206,205.2,1.4,5573.0,4.434,0.982,0.0,0.0,0.0,0.0
5.4255548,3.9637474,14939.6342222,3.96,8868.7,4.411,1.028,0.0,0.0,0.0,0.0
4.0035773,2.0958153,14273.8513137,12.9627879,5318.0,4.33106,1.08492,0.0,0.0,0.0,0.0
2.800111267,1.0237,706.7,2.13,4786.0,4.579,0.704,0.0,0.0,0.0,0.0
8.15275885,1.746,16536.0,2.44,3327.0,5.113,0.189,0.0,0.0,0.0,0.0
1.56706496,3.214,1238.5,3.96,4426.2,4.69978,0.615898,0.0,0.0,0.0,0.0
14.697,3.214,1238.5,2.93,4285.0,4.581,0.703,0.0,0.0,0.0,0.0
47.9869119,5.342,859.3,3.35,5641.0,4.408,0.981,0.0,0.0,0.0,0.0
0.4038426,1.0592218,636.6337963,1.442393,4119.1,4.73,0.555,0.0,0.0,0.0,0.0
17.9559673,6.237,137.0,1.96,5641.0,4.258,1.195,0.0,0.0,0.0,0.0
3.9417247,5.762,2770.0,11.7599,4900.9,4.411,2.3,0.0,0.0,0.0,0.0
1.3939452,0.922,5131.0,8.87293,6140.0,4.42,1.09,0.0,0.0,0.0,0.0
3.3004862,2.959105,2403.5706041,8.5365984,6408.0,4.26,1.30784,0.0,0.0,0.0,0.0
6.00118,3.214,1238.5,2.03,4716.0,4.62,0.69,0.0,0.0,0.0,0.0
5.6601098,1.5377473,8427.6778878,12.3816484,5859.8,4.4,1.1873699,0.0,0.0,0.0,0.0
13.86383,3.214,1238.5,2.5,5718.0,4.411,0.68,0.0,0.0,0.0,0.0
5.233450136,8.57374,430420.0,70.33,5841.0,4.454,0.977,0.0,1.0,0.0,0.0
16.08832318,5.731,597.8,3.42,6157.0,4.224,1.33,0.0,0.0,0.0,0.0
5.448321078,2.2213,529.4,2.17,5721.0,4.517,0.905,0.0,0.0,0.0,0.0
25.7457957,7.073,140.3,1.73,6103.0,4.202,1.383,0.0,0.0,0.0,0.0
15.06649901,5.9885,36348.0,56.44,5751.0,4.028,1.626,0.0,1.0,1.0,1.0
12.834857,2.092,293.9,1.73,5492.0,4.389,1.016,0.0,0.0,0.0,0.0
36.75892725,15.5723,261730.0,51.31,6085.0,4.438,0.979,0.0,1.0,0.0,0.0
8.884922995,2.07004,16053.0,10.51,5332.0,4.5,0.843,0.0,0.0,0.0,0.0
6.1082945,3.493,61.1,1.06,6720.0,4.316,1.289,0.0,0.0,0.0,0.0
1.334101467,2.1033,120.8,1.74,6178.0,4.106,1.58,0.0,0.0,1.0,1.0
4.4163989,1.81,7110.0,7.89614,6273.0,4.59,0.93,0.0,0.0,0.0,0.0
6.430383,3.214,1238.5,4.309,5735.0,4.314,1.054,0.0,0.0,0.0,0.0
209.941369,2.97,477.3,14.36,5125.0,2.988,6.69,1.0,0.0,0.0,0.0
7.384681,3.548,142.8,1.22,6174.0,4.445,1.021,0.0,0.0,1.0,0.0
432.42787,19.63,110.3,1.14,6263.0,4.46,1.009,0.0,0.0,0.0,0.0
71.008017,5.395,170.2,1.11,5847.0,4.526,0.849,0.0,0.0,0.0,0.0
5.4913314,5.3710583,34135.0717572,3.96,6364.0,4.411,1.028,0.0,0.0,0.0,0.0
5.09506,5.73,23.6,2.14,6700.0,3.48,4.146,1.0,0.0,0.0,0.0
16.25951967,3.854,129.5,1.72,5966.0,4.169,1.499,0.0,0.0,0.0,0.0
440.0,3.214,1238.5,16.3,4600.0,4.411,0.85,0.0,0.0,0.0,0.0
2.44358543,1.852,59.1,0.67,5561.0,4.486,0.873,0.0,0.0,0.0,0.0
2.03905,2.26,430.0,6.42307,9003.0,3.94,2.68,0.0,0.0,0.0,0.0
6.2157513,3.295,4008.0,10.0556,6015.2,4.05,1.65,0.0,0.0,0.0,0.0
4.719336335,2.83787,12367.0,91.91,6792.0,3.971,2.058,0.0,1.0,0.0,0.0
1.76447,2.749,2640.0,27.921,8049.0,3.3,5.08,0.0,0.0,0.0,0.0
